Lab_ID,Species_Name,Collection_Location,Date_Collected,Collector_ID,Muscimol_mg_per_g,Ibotenic_Acid_mg_per_g,Psilocybin_mg_per_g,Psilocin_mg_per_g,Muscarine_mg_per_g,Amatoxin_mg_per_g,Phalloidin_mg_per_g,Additional_Alkaloids,pH_Level,Moisture_Content_Percent,Spore_Viability_Percent,Risk_Classification,Notes,Analysis_Status,QC_Verified_By,Report_Generated
PWN013,Amanita_phalloides,Royal_Gardens_Restricted,2024-10-06,Queen_Hearts,0.00,0.00,0.00,0.00,0.00,156.78,22.45,Amatoxin_cocktail_lethal,6.1,74.3,97.1,EXTREMELY_FATAL,Death_cap_most_lethal_specimen_ever_tested,COMPLETE,Dr_Red_Queen,2024-10-07
PWN014,Psilocybe_semilanceata,Sheep_Meadow_Valley,2024-10-08,Humpty_Dumpty,0.00,0.00,15.34,3.12,0.00,0.00,0.00,Baeocystin_high,6.7,81.2,86.4,MODERATE_HALLUCINOGENIC,Liberty_cap_pointed_conical_shape,COMPLETE,Dr_Wall,2024-10-09
PWN015,Gyromitra_esculenta,Stream_Bank_Rocky,2024-10-10,Walrus_Carpenter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Gyromitrin_monomethylhydrazine,5.8,67.2,79.3,HIGH_HEPATOTOXIC,False_morel_brain_mushroom_liver_damage,COMPLETE,Dr_Oyster,2024-10-11
PWN016,Chlorophyllum_molybdites,Lawn_Party_Area,2024-10-12,Footman_Fish,0.00,0.00,0.00,0.00,2.15,0.00,0.00,Unknown_gastrotoxin,7.4,72.1,85.7,MODERATE_TOXIC,Green_spored_lepiota_GI_distress,COMPLETE,Dr_Scales,2024-10-13
PWN017,Cortinarius_orellanus,Pine_Forest_Border,2024-10-14,Knave_Hearts,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Orellanine_nephrotoxin,6.6,70.9,83.2,DELAYED_FATAL,Kidney_failure_delayed_onset_2_weeks,COMPLETE,Dr_Tart,2024-10-15
PWN018,Amanita_ocreata_variant,Secret_Garden_Hidden,2024-10-16,Absolem,0.00,0.00,0.00,0.00,0.00,78.91,11.34,Amatoxin_variant_strain,6.4,75.6,95.8,FATAL_DESTROYING_ANGEL,Western_destroying_angel_regional_variant,COMPLETE,Dr_Smoke,2024-10-17
PWN019,Lab_Blank_Negative,PWN_Laboratory,2024-10-18,Automation_System,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None_detected,7.0,0.0,0.0,CONTROL_NEGATIVE,Blank_sample_quality_control,COMPLETE,System_QC,2024-10-18
PWN020,Environmental_Unknown,Looking_Glass_Reflection,2024-10-20,Alice_Liddell,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,Analysis_in_progress,NULL,NULL,NULL,ANALYSIS_PENDING,Unusual_specimen_requires_extended_testing,IN_PROGRESS,Dr_Mirror,NULL
PWN021,Psilocybe_azurescens,Coastal_Dunes_West,2024-10-22,Gryphon,0.00,0.00,18.97,4.23,0.00,0.00,0.00,High_potency_confirmed,7.3,84.1,91.5,HIGH_HALLUCINOGENIC,Flying_saucer_mushroom_most_potent_psilocybe,COMPLETE,Dr_Flight,2024-10-23
PWN022,Amanita_pantherina,Panther_Spot_Grove,2024-10-24,Mad_Hatter,1.89,4.12,0.00,0.00,0.34,0.00,0.00,Pantherine_alkaloid,6.0,77.3,94.2,HIGH_PSYCHOACTIVE,Panther_cap_brown_with_white_spots,COMPLETE,Dr_Time,2024-10-25
PWN023,Omphalotus_olearius,Dead_Oak_Trunk,2024-10-26,Jabberwocky,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Illudin_S_sesquiterpene,6.8,69.4,82.1,MODERATE_TOXIC,Jack_o_lantern_mushroom_false_chanterelle,COMPLETE,Dr_Vorpal,2024-10-27
PWN024,Galerina_marginata,Rotting_Wood_Pile,2024-10-28,Tweedledee,0.00,0.00,0.00,0.00,0.00,67.45,9.12,Amatoxin_similar_profile,6.2,73.8,88.9,FATAL_AMATOXIN,Deadly_galerina_wood_rotting_species,COMPLETE,Dr_Dee,2024-10-29
PWN025,Pholiotina_rugosa,Grass_Lawn_Edge,2024-10-30,White_Knight,0.00,0.00,0.00,0.00,0.00,45.67,6.78,Amatoxin_containing_LBM,7.1,71.5,86.3,FATAL_SMALL_BROWN,Little_brown_mushroom_deadly_surprise,COMPLETE,Dr_Chess,2024-10-31
